ticker,company,fiscal_year,revenue_usd_mm,cogs_usd_mm,ebit_usd_mm,net_income_usd_mm,cash_from_ops_usd_mm,capex_usd_mm,cash_and_short_term_investments_usd_mm,total_debt_usd_mm,diluted_shares_mm
AAPL,Apple Inc.,2020,274515,169559,66288,57411,80674,7309,90943,112436,17102
AAPL,Apple Inc.,2021,365817,212981,108949,94680,104038,11085,62639,124719,16427
AAPL,Apple Inc.,2022,394328,223546,119437,99803,122151,10708,48304,120069,15943
AAPL,Apple Inc.,2023,383285,214137,114301,96995,110543,10959,61555,111088,15813
AAPL,Apple Inc.,2024,391035,210352,123216,93736,118254,9447,65171,106629,15343
MSFT,Microsoft Corp.,2020,143015,46078,52959,44281,60675,15441,136527,70998,7610
MSFT,Microsoft Corp.,2021,168088,52232,69916,61271,76740,20622,130334,67775,7547
MSFT,Microsoft Corp.,2022,198270,62650,83383,72738,89035,23886,104749,61270,7496
MSFT,Microsoft Corp.,2023,211915,65863,88523,72361,87582,28107,111262,59965,7472
MSFT,Microsoft Corp.,2024,245122,74114,109433,88136,118548,44477,75531,67127,7431
GOOGL,Alphabet Inc.,2020,182527,84732,41224,40269,65124,22281,136694,26772,6754
GOOGL,Alphabet Inc.,2021,257637,110939,78714,76033,91652,24640,139649,28459,6628
GOOGL,Alphabet Inc.,2022,282836,126203,74842,59972,91495,31485,113762,29679,13159
GOOGL,Alphabet Inc.,2023,307394,133332,84293,73795,101746,32251,110916,28679,12905
GOOGL,Alphabet Inc.,2024,350018,148184,112390,100118,125728,52535,95739,28528,12559
